sessionId,time_ms,eventType,posX,posY,section,extra
3755c5bb,0,LEVEL_START,-709,-304,S00_START,Lab_Tema1_CRISP_PuntosFuga
3755c5bb,239,LAND,-709,-392,S00_START,
3755c5bb,407,JUMP,-645,-391,S00_START,velX=5 00
3755c5bb,1119,SECTION_ENTER,-279,-242,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,1159,LAND,-259,-260,S01_EASY_ENTER,
3755c5bb,5135,JUMP,499,-260,S01_EASY_ENTER,velX=5 00
3755c5bb,5919,LAND,901,-125,S01_EASY_ENTER,
3755c5bb,5979,SECTION_ENTER,931,-125,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,6799,JUMP,1171,-125,S02_MID_ENTER,velX=0 00
3755c5bb,7299,SECTION_ENTER,1171,-115,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,7339,LAND,1171,-128,S02_MID_ENTER,
3755c5bb,7386,JUMP,1171,-126,S02_MID_ENTER,velX=0 00
3755c5bb,8159,LAND,881,-131,S02_MID_ENTER,
3755c5bb,8662,JUMP,770,-125,S02_MID_ENTER,velX=-5 00
3755c5bb,9639,SECTION_ENTER,271,-245,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,9679,LAND,251,-264,S01_EASY_ENTER,
3755c5bb,12094,JUMP,479,-260,S01_EASY_ENTER,velX=5 00
3755c5bb,12879,LAND,881,-125,S01_EASY_ENTER,
3755c5bb,12979,SECTION_ENTER,931,-125,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,14998,JUMP,1461,-125,S02_MID_ENTER,velX=-5 00
3755c5bb,15559,SECTION_ENTER,1401,-112,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,15599,LAND,1391,-127,S02_MID_ENTER,
3755c5bb,15600,JUMP,1401,-133,S02_MID_ENTER,velX=-5 00
3755c5bb,16079,SECTION_ENTER,1151,-113,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,16119,LAND,1131,-127,S02_MID_ENTER,
3755c5bb,16167,JUMP,1117,-126,S02_MID_ENTER,velX=-5 00
3755c5bb,16759,LAND,841,-130,S02_MID_ENTER,
3755c5bb,16760,JUMP,841,-143,S02_MID_ENTER,velX=0 00
3755c5bb,17039,SECTION_ENTER,971,-111,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,17099,LAND,1001,-126,S02_MID_ENTER,
3755c5bb,18718,JUMP,1801,-125,S02_MID_ENTER,velX=5 00
3755c5bb,19799,DEATH_HAZARD,2315,-397,S02_MID_ENTER,
3755c5bb,19799,RESPAWN,993,-145,S02_MID_ENTER,
3755c5bb,19819,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,19819,LAND,1003,-131,S02_MID_ENTER,
3755c5bb,22139,DEATH_HAZARD,2043,-392,S02_MID_ENTER,
3755c5bb,22139,RESPAWN,993,-145,S02_MID_ENTER,
3755c5bb,22159,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,22159,LAND,1003,-131,S02_MID_ENTER,
3755c5bb,25510,JUMP,1849,-131,S02_MID_ENTER,velX=5 00
3755c5bb,26319,LAND,2263,-14,S02_MID_ENTER,
3755c5bb,26499,SECTION_ENTER,2353,-13,S03_HARD_ENTER,S03_HARD_ENTER
3755c5bb,27325,JUMP,2710,-13,S03_HARD_ENTER,velX=-5 00
3755c5bb,27939,SECTION_ENTER,2673,-13,S03_HARD_ENTER,S03_HARD_ENTER
3755c5bb,27959,LAND,2683,-13,S03_HARD_ENTER,
3755c5bb,34839,DEATH_HAZARD,2223,-391,S03_HARD_ENTER,
3755c5bb,34839,RESPAWN,2438,-33,S03_HARD_ENTER,
3755c5bb,34859,SECTION_ENTER,2438,-19,S03_HARD_ENTER,S03_HARD_ENTER
3755c5bb,34859,LAND,2438,-19,S03_HARD_ENTER,
3755c5bb,37438,JUMP,3158,-13,S03_HARD_ENTER,velX=5 00
3755c5bb,38319,SECTION_ENTER,3078,-17,S03_HARD_ENTER,S03_HARD_ENTER
3755c5bb,38339,LAND,3078,-14,S03_HARD_ENTER,
3755c5bb,38918,JUMP,3298,-20,S03_HARD_ENTER,velX=5 00
3755c5bb,40059,DEATH_HAZARD,3826,-400,S03_HARD_ENTER,
3755c5bb,40059,RESPAWN,2438,-33,S03_HARD_ENTER,
3755c5bb,40079,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
3755c5bb,40079,LAND,2448,-19,S03_HARD_ENTER,
3755c5bb,40870,JUMP,2223,-13,S03_HARD_ENTER,velX=-5 00
3755c5bb,41859,LAND,1718,-127,S03_HARD_ENTER,
3755c5bb,41979,SECTION_ENTER,1658,-125,S02_MID_ENTER,S02_MID_ENTER
3755c5bb,43726,JUMP,795,-125,S02_MID_ENTER,velX=-5 00
3755c5bb,44699,SECTION_ENTER,298,-244,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,44739,LAND,278,-264,S01_EASY_ENTER,
3755c5bb,46302,JUMP,-493,-260,S01_EASY_ENTER,velX=-5 00
3755c5bb,46999,LAND,-702,-392,S01_EASY_ENTER,
3755c5bb,47518,JUMP,-642,-391,S01_EASY_ENTER,velX=5 00
3755c5bb,48039,SECTION_ENTER,-372,-242,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,48099,LAND,-342,-263,S01_EASY_ENTER,
3755c5bb,48099,JUMP,-352,-273,S01_EASY_ENTER,velX=5 00
3755c5bb,48499,SECTION_ENTER,-152,-250,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,48539,LAND,-152,-261,S01_EASY_ENTER,
3755c5bb,48854,JUMP,-179,-260,S01_EASY_ENTER,velX=-5 00
3755c5bb,49419,SECTION_ENTER,-322,-247,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,49459,LAND,-302,-262,S01_EASY_ENTER,
3755c5bb,49647,JUMP,-218,-260,S01_EASY_ENTER,velX=5 00
3755c5bb,50539,SECTION_ENTER,228,-263,S01_EASY_ENTER,S01_EASY_ENTER
3755c5bb,50559,LAND,218,-261,S01_EASY_ENTER,
