sessionId,time_ms,eventType,posX,posY,section,extra
c11b725c,0,LEVEL_START,-709,-304,S00_START,Lab_Tema1_CRISP_PuntosFuga
c11b725c,239,LAND,-709,-392,S00_START,
c11b725c,346,JUMP,-705,-391,S00_START,velX=5 00
c11b725c,1119,SECTION_ENTER,-309,-256,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,1159,LAND,-289,-264,S01_EASY_ENTER,
c11b725c,4786,JUMP,75,-260,S01_EASY_ENTER,velX=5 00
c11b725c,5679,SECTION_ENTER,-219,-263,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,5699,LAND,-219,-261,S01_EASY_ENTER,
c11b725c,5794,JUMP,-192,-260,S01_EASY_ENTER,velX=5 00
c11b725c,6339,SECTION_ENTER,91,-258,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,6379,LAND,111,-264,S01_EASY_ENTER,
c11b725c,6380,JUMP,102,-277,S01_EASY_ENTER,velX=5 00
c11b725c,6819,SECTION_ENTER,331,-249,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,6859,LAND,351,-261,S01_EASY_ENTER,
c11b725c,6882,JUMP,353,-261,S01_EASY_ENTER,velX=0 00
c11b725c,7779,SECTION_ENTER,-49,-264,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,7799,LAND,-59,-261,S01_EASY_ENTER,
c11b725c,7858,JUMP,-78,-260,S01_EASY_ENTER,velX=-5 00
c11b725c,8679,SECTION_ENTER,281,-264,S01_EASY_ENTER,S01_EASY_ENTER
c11b725c,8699,LAND,291,-261,S01_EASY_ENTER,
c11b725c,9129,JUMP,496,-260,S01_EASY_ENTER,velX=5 00
c11b725c,9919,LAND,901,-125,S01_EASY_ENTER,
c11b725c,9979,SECTION_ENTER,931,-125,S02_MID_ENTER,S02_MID_ENTER
c11b725c,10154,JUMP,1009,-125,S02_MID_ENTER,velX=5 00
c11b725c,11039,SECTION_ENTER,1251,-128,S02_MID_ENTER,S02_MID_ENTER
c11b725c,11059,LAND,1241,-126,S02_MID_ENTER,
c11b725c,11234,JUMP,1188,-125,S02_MID_ENTER,velX=5 00
c11b725c,11839,SECTION_ENTER,1281,-125,S02_MID_ENTER,S02_MID_ENTER
c11b725c,11859,LAND,1281,-125,S02_MID_ENTER,
c11b725c,11882,JUMP,1281,-125,S02_MID_ENTER,velX=0 00
c11b725c,12279,SECTION_ENTER,1281,-111,S02_MID_ENTER,S02_MID_ENTER
