sessionId,time_ms,eventType,posX,posY,section,extra
1c9f9918,0,LEVEL_START,-709,-304,S00_START,Lab_Tema1_CRISP_PuntosFuga
1c9f9918,239,LAND,-709,-392,S00_START,
1c9f9918,470,JUMP,-664,-391,S00_START,velX=5 00
1c9f9918,1239,SECTION_ENTER,-269,-256,S01_EASY_ENTER,S01_EASY_ENTER
1c9f9918,1279,LAND,-249,-264,S01_EASY_ENTER,
1c9f9918,2901,JUMP,552,-267,S01_EASY_ENTER,velX=5 00
1c9f9918,3659,SECTION_ENTER,941,-118,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,3699,LAND,961,-128,S02_MID_ENTER,
1c9f9918,6459,DEATH_HAZARD,681,-392,S02_MID_ENTER,
1c9f9918,6459,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,6479,SECTION_ENTER,993,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,6479,LAND,993,-131,S02_MID_ENTER,
1c9f9918,8244,JUMP,1756,-125,S02_MID_ENTER,velX=5 00
1c9f9918,9339,DEATH_HAZARD,2313,-397,S02_MID_ENTER,
1c9f9918,9339,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,9359,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,9359,LAND,1003,-131,S02_MID_ENTER,
1c9f9918,11439,DEATH_HAZARD,1853,-392,S02_MID_ENTER,
1c9f9918,11439,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,11459,SECTION_ENTER,993,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,11459,LAND,993,-131,S02_MID_ENTER,
1c9f9918,11765,JUMP,1116,-125,S02_MID_ENTER,velX=5 00
1c9f9918,12279,SECTION_ENTER,1383,-116,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,12319,LAND,1403,-128,S02_MID_ENTER,
1c9f9918,13117,JUMP,1792,-125,S02_MID_ENTER,velX=5 00
1c9f9918,14199,DEATH_HAZARD,2315,-397,S02_MID_ENTER,
1c9f9918,14199,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,14219,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,14219,LAND,1003,-131,S02_MID_ENTER,
1c9f9918,15941,JUMP,1854,-133,S02_MID_ENTER,velX=5 00
1c9f9918,17019,DEATH_HAZARD,2153,-390,S02_MID_ENTER,
1c9f9918,17019,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,17039,SECTION_ENTER,993,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,17039,LAND,993,-131,S02_MID_ENTER,
1c9f9918,18881,JUMP,1844,-129,S02_MID_ENTER,velX=5 00
1c9f9918,19759,DEATH_HAZARD,2293,-392,S02_MID_ENTER,
1c9f9918,19759,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,19779,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,19779,LAND,1003,-131,S02_MID_ENTER,
1c9f9918,21484,JUMP,1846,-130,S02_MID_ENTER,velX=5 00
1c9f9918,22299,LAND,2263,-14,S02_MID_ENTER,
1c9f9918,22479,SECTION_ENTER,2353,-13,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,24237,JUMP,3222,-13,S03_HARD_ENTER,velX=5 00
1c9f9918,25379,DEATH_HAZARD,3803,-398,S03_HARD_ENTER,
1c9f9918,25379,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,25399,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,25399,LAND,2448,-19,S03_HARD_ENTER,
1c9f9918,27101,JUMP,3289,-17,S03_HARD_ENTER,velX=5 00
1c9f9918,28079,DEATH_HAZARD,3598,-391,S03_HARD_ENTER,
1c9f9918,28079,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,28099,SECTION_ENTER,2428,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,28099,LAND,2428,-19,S03_HARD_ENTER,
1c9f9918,29039,DEATH_HAZARD,1958,-391,S03_HARD_ENTER,
1c9f9918,29039,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,29059,SECTION_ENTER,2428,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,29059,LAND,2428,-19,S03_HARD_ENTER,
1c9f9918,29999,DEATH_HAZARD,1958,-391,S03_HARD_ENTER,
1c9f9918,29999,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,30019,SECTION_ENTER,2428,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,30019,LAND,2428,-19,S03_HARD_ENTER,
1c9f9918,30429,JUMP,2233,-13,S03_HARD_ENTER,velX=-5 00
1c9f9918,31319,LAND,1778,-132,S03_HARD_ENTER,
1c9f9918,31559,SECTION_ENTER,1658,-125,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,31981,JUMP,1639,-125,S02_MID_ENTER,velX=5 00
1c9f9918,33079,DEATH_HAZARD,2198,-397,S02_MID_ENTER,
1c9f9918,33079,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,33099,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,33099,LAND,1003,-131,S02_MID_ENTER,
1c9f9918,34604,JUMP,1686,-125,S02_MID_ENTER,velX=5 00
1c9f9918,35699,DEATH_HAZARD,2243,-397,S02_MID_ENTER,
1c9f9918,35699,RESPAWN,993,-145,S02_MID_ENTER,
1c9f9918,35719,SECTION_ENTER,1003,-131,S02_MID_ENTER,S02_MID_ENTER
1c9f9918,35719,LAND,1003,-131,S02_MID_ENTER,
1c9f9918,37469,JUMP,1868,-140,S02_MID_ENTER,velX=5 00
1c9f9918,38279,LAND,2283,-17,S02_MID_ENTER,
1c9f9918,38419,SECTION_ENTER,2353,-13,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,39339,DEATH_HAZARD,1963,-391,S03_HARD_ENTER,
1c9f9918,39339,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,39359,SECTION_ENTER,2428,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,39359,LAND,2428,-19,S03_HARD_ENTER,
1c9f9918,40299,DEATH_HAZARD,1958,-391,S03_HARD_ENTER,
1c9f9918,40299,RESPAWN,2438,-33,S03_HARD_ENTER,
1c9f9918,40319,SECTION_ENTER,2428,-19,S03_HARD_ENTER,S03_HARD_ENTER
1c9f9918,40319,LAND,2428,-19,S03_HARD_ENTER,
1c9f9918,40758,JUMP,2219,-13,S03_HARD_ENTER,velX=-5 00
